time: 2022-05-24 11:14:33,305, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:14:35,334, function: sep_cat_num, module: data_transformation, message: successfully separated 

time: 2022-05-24 11:15:16,067, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:15:17,234, function: sep_cat_num, module: data_transformation, message: successfully separated 

time: 2022-05-24 11:18:09,954, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:18:11,699, function: sep_cat_num, module: data_transformation, message: successfully separated 

time: 2022-05-24 11:18:33,793, function: scaler, module: data_transformation, message: Dataset successfully scaled 

time: 2022-05-24 11:18:34,002, function: target_feature, module: data_transformation, message: target and features separated 

time: 2022-05-24 11:18:35,077, function: set_splitter, module: data_transformation, message: data successfully splitted 

time: 2022-05-24 11:43:31,496, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:43:32,657, function: sep_cat_num, module: data_transformation, message: successfully separated 

time: 2022-05-24 11:43:43,145, function: scaler, module: data_transformation, message: Dataset successfully scaled 

time: 2022-05-24 11:43:43,518, function: target_feature, module: data_transformation, message: target and features separated 

time: 2022-05-24 11:43:45,528, function: set_splitter, module: data_transformation, message: data successfully splitted 

time: 2022-05-24 11:47:03,636, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 11:47:05,499, function: sep_cat_num, module: data_transformation, message: successfully separated 

time: 2022-05-24 11:47:15,588, function: scaler, module: data_transformation, message: Dataset successfully scaled 

time: 2022-05-24 11:47:16,879, function: target_feature, module: data_transformation, message: target and features separated 

time: 2022-05-24 11:47:17,856, function: set_splitter, module: data_transformation, message: data successfully splitted 

time: 2022-05-24 12:02:46,554, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 12:02:48,083, function: sep_cat_num, module: data_transformation, message: successfully separated 

time: 2022-05-24 12:11:31,781, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 12:11:33,013, function: sep_cat_num, module: data_transformation, message: successfully separated 

time: 2022-05-24 12:11:34,723, function: summ_columns, module: data_viz, message: summary successfully created 

time: 2022-05-24 12:11:51,292, function: scaler, module: data_transformation, message: Dataset successfully scaled 

time: 2022-05-24 12:11:52,389, function: target_feature, module: data_transformation, message: target and features separated 

